# freq ampl
3.125000e+05 1.220744e-07
6.250000e+05 2.425660e-07
9.375000e+05 5.499946e-01
1.250000e+06 1.746059e-07
1.562500e+06 1.001444e-07
1.875000e+06 1.069288e-07
2.187500e+06 5.235639e-08
2.500000e+06 1.039664e-07
2.812500e+06 4.134891e-07
3.125000e+06 7.485105e-08
3.437500e+06 1.033075e-07
3.750000e+06 1.174525e-07
4.062500e+06 2.176989e-08
4.375000e+06 1.238610e-07
4.687500e+06 3.880007e-07
5.000000e+06 3.551160e-08
5.312500e+06 1.195993e-07
5.625000e+06 1.151446e-07
5.937500e+06 2.715025e-08
6.250000e+06 1.138967e-07
6.562500e+06 8.215721e-08
6.875000e+06 6.903234e-08
7.187500e+06 1.349196e-07
7.500000e+06 1.296189e-07
7.812500e+06 1.572749e-07
8.125000e+06 2.301464e-07
8.437500e+06 1.539079e-07
8.750000e+06 1.163402e-07
9.062500e+06 6.381479e-08
9.375000e+06 9.451572e-08
9.687500e+06 2.216964e-07
1.000000e+07 2.845016e-07
1.031250e+07 1.469013e-07
1.062500e+07 6.262524e-08
1.093750e+07 5.961825e-08
1.125000e+07 5.333810e-08
1.156250e+07 1.490231e-07
1.187500e+07 1.734733e-07
1.218750e+07 1.201848e-07
1.250000e+07 9.514845e-08
1.281250e+07 1.060052e-07
1.312500e+07 5.608430e-08
1.343750e+07 1.381184e-07
1.375000e+07 1.703827e-07
1.406250e+07 1.061260e-07
1.437500e+07 1.236388e-07
1.468750e+07 1.407539e-07
1.500000e+07 2.174746e-08
1.531250e+07 9.876307e-08
1.562500e+07 9.509521e-08
1.593750e+07 4.718837e-08
1.625000e+07 1.439888e-07
1.656250e+07 1.362568e-07
1.687500e+07 1.431613e-07
1.718750e+07 2.023793e-07
1.750000e+07 1.666695e-07
1.781250e+07 9.295963e-08
1.812500e+07 8.136248e-08
1.843750e+07 8.647212e-08
1.875000e+07 1.579417e-07
1.906250e+07 2.460895e-07
1.937500e+07 1.934464e-07
1.968750e+07 6.169369e-08
2.000000e+07 1.615939e-08
