# freq ampl
3.125000e+05 6.030326e-08
6.250000e+05 7.427191e-08
9.375000e+05 5.499957e-01
1.250000e+06 2.541480e-08
1.562500e+06 6.184277e-08
1.875000e+06 9.951083e-08
2.187500e+06 1.207110e-07
2.500000e+06 9.611295e-08
2.812500e+06 2.617363e-07
3.125000e+06 4.344003e-08
3.437500e+06 7.836294e-08
3.750000e+06 8.880769e-08
4.062500e+06 7.444937e-08
4.375000e+06 7.284403e-08
4.687500e+06 3.009070e-07
5.000000e+06 9.635546e-08
5.312500e+06 6.731913e-08
5.625000e+06 1.025551e-08
5.937500e+06 3.755319e-08
6.250000e+06 8.495030e-08
6.562500e+06 1.113313e-07
6.875000e+06 1.120528e-07
7.187500e+06 8.629173e-08
7.500000e+06 5.130426e-08
7.812500e+06 4.506655e-08
8.125000e+06 2.691171e-08
8.437500e+06 6.211730e-08
8.750000e+06 3.003564e-08
9.062500e+06 5.582343e-08
9.375000e+06 8.775235e-08
9.687500e+06 1.071254e-07
1.000000e+07 6.499132e-08
1.031250e+07 8.612386e-08
1.062500e+07 4.073063e-08
1.093750e+07 9.309943e-08
1.125000e+07 9.426247e-08
1.156250e+07 5.674789e-08
1.187500e+07 4.238338e-08
1.218750e+07 1.008854e-07
1.250000e+07 1.300753e-07
1.281250e+07 1.261525e-07
1.312500e+07 8.933926e-08
1.343750e+07 2.562421e-08
1.375000e+07 5.975709e-08
1.406250e+07 1.402152e-07
1.437500e+07 5.488437e-08
1.468750e+07 4.747199e-08
1.500000e+07 1.077895e-07
1.531250e+07 1.383336e-07
1.562500e+07 1.517420e-07
1.593750e+07 1.336524e-07
1.625000e+07 4.246639e-08
1.656250e+07 1.545312e-08
1.687500e+07 5.510592e-08
1.718750e+07 3.645122e-08
1.750000e+07 3.041379e-08
1.781250e+07 7.087549e-08
1.812500e+07 1.112720e-07
1.843750e+07 1.210493e-07
1.875000e+07 9.577313e-08
1.906250e+07 4.963542e-08
1.937500e+07 1.842498e-08
1.968750e+07 5.458344e-08
2.000000e+07 6.349837e-08
