# freq ampl
3.125000e+05 2.492303e-07
6.250000e+05 3.121811e-07
9.375000e+05 5.511706e-01
1.250000e+06 6.641084e-07
1.562500e+06 5.953771e-07
1.875000e+06 3.494768e-07
2.187500e+06 2.210906e-07
2.500000e+06 9.933772e-07
2.812500e+06 6.229803e-04
3.125000e+06 1.576107e-06
3.437500e+06 1.058990e-06
3.750000e+06 1.284420e-06
4.062500e+06 1.564524e-06
4.375000e+06 1.257943e-06
4.687500e+06 2.552017e-04
5.000000e+06 5.765396e-07
5.312500e+06 8.491183e-07
5.625000e+06 1.243834e-06
5.937500e+06 1.564442e-06
6.250000e+06 1.815444e-06
6.562500e+06 1.032447e-04
6.875000e+06 1.312324e-06
7.187500e+06 1.106601e-06
7.500000e+06 1.356160e-06
7.812500e+06 1.237954e-06
8.125000e+06 9.036235e-07
8.437500e+06 3.507145e-05
8.750000e+06 5.654904e-07
9.062500e+06 1.138328e-06
9.375000e+06 1.241195e-06
9.687500e+06 7.463611e-07
1.000000e+07 2.116836e-07
1.031250e+07 7.226198e-06
1.062500e+07 5.073547e-07
1.093750e+07 6.196650e-07
1.125000e+07 7.032854e-07
1.156250e+07 6.255869e-07
1.187500e+07 4.139262e-07
1.218750e+07 2.468954e-06
1.250000e+07 2.994979e-07
1.281250e+07 3.156092e-07
1.312500e+07 1.111642e-06
1.343750e+07 1.430599e-06
1.375000e+07 1.027800e-06
1.406250e+07 3.565064e-06
1.437500e+07 1.175210e-06
1.468750e+07 9.828839e-07
1.500000e+07 7.119287e-07
1.531250e+07 8.313773e-07
1.562500e+07 6.763660e-07
1.593750e+07 2.595441e-06
1.625000e+07 1.640760e-06
1.656250e+07 1.778150e-06
1.687500e+07 1.274011e-06
1.718750e+07 9.581829e-07
1.750000e+07 4.894223e-07
1.781250e+07 4.366530e-07
1.812500e+07 6.369864e-07
1.843750e+07 1.390842e-06
1.875000e+07 1.177358e-06
1.906250e+07 7.281684e-07
1.937500e+07 7.536303e-07
1.968750e+07 1.239305e-06
2.000000e+07 1.104052e-06
5.814920e+01 9.366977e+00
